city,date,averageMonthlyPrice
BORDEAUX,2014-01-01,3463.93
BORDEAUX,2014-02-01,3482.75
BORDEAUX,2014-03-01,3499.74
BORDEAUX,2014-04-01,3518.56
BORDEAUX,2014-05-01,3536.77
BORDEAUX,2014-06-01,3555.58
BORDEAUX,2014-07-01,3573.79
BORDEAUX,2014-08-01,3592.61
BORDEAUX,2014-09-01,3611.42
BORDEAUX,2014-10-01,3629.63
BORDEAUX,2014-11-01,3648.45
BORDEAUX,2014-12-01,3666.66
BORDEAUX,2015-01-01,3685.47
BORDEAUX,2015-02-01,3704.29
BORDEAUX,2015-03-01,3721.28
BORDEAUX,2015-04-01,3740.1
BORDEAUX,2015-05-01,3758.31
BORDEAUX,2015-06-01,3777.12
BORDEAUX,2015-07-01,3795.33
BORDEAUX,2015-08-01,3814.15
BORDEAUX,2015-09-01,3832.96
BORDEAUX,2015-10-01,3851.17
BORDEAUX,2015-11-01,3869.99
BORDEAUX,2015-12-01,3888.2
BORDEAUX,2016-01-01,3907.01
BORDEAUX,2016-02-01,3925.83
BORDEAUX,2016-03-01,3943.43
BORDEAUX,2016-04-01,3962.25
BORDEAUX,2016-05-01,3980.46
BORDEAUX,2016-06-01,3999.27
BORDEAUX,2016-07-01,4017.48
BORDEAUX,2016-08-01,4036.3
BORDEAUX,2016-09-01,4055.11
BORDEAUX,2016-10-01,4073.32
BORDEAUX,2016-11-01,4092.14
BORDEAUX,2016-12-01,4110.35
BORDEAUX,2017-01-01,4129.16
BORDEAUX,2017-02-01,4147.98
BORDEAUX,2017-03-01,4164.97
BORDEAUX,2017-04-01,4183.79
BORDEAUX,2017-05-01,4202.0
BORDEAUX,2017-06-01,4220.81
BORDEAUX,2017-07-01,4239.02
BORDEAUX,2017-08-01,4257.84
BORDEAUX,2017-09-01,4276.65
BORDEAUX,2017-10-01,4294.86
BORDEAUX,2017-11-01,4313.68
BORDEAUX,2017-12-01,4331.89
BORDEAUX,2018-01-01,4350.7
BORDEAUX,2018-02-01,4369.52
BORDEAUX,2018-03-01,4386.51
BORDEAUX,2018-04-01,4405.33
BORDEAUX,2018-05-01,4423.54
BORDEAUX,2018-06-01,4442.35
BORDEAUX,2018-07-01,4460.56
BORDEAUX,2018-08-01,4479.38
